Segment ID,Station ID,Station Description,Start Date,Start Time,Start Depth,Submitting Entity,Collecting Entity,Monitoring Type,Parameter Name,Parameter Code,Value,RFA/Tag ID,Station Latitude,Station Longitude,Comments
2306,13229,RIO GRANDE BELOW RIO CONCHOS ,3/19/08,10:00,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,INTERNATIONAL BOUNDARY & WATER COMMISSION,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,547,BP00227,29.51898,-104.28659,
2306,13229,RIO GRANDE BELOW RIO CONCHOS ,11/18/08,10:00,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,INTERNATIONAL BOUNDARY & WATER COMMISSION,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,396,BP00254,29.51898,-104.28659,
2306,13223,RIO GRANDE AT FOSTER RANCH,2/14/07,11:30,0.3,UNITED STATES GEOLOGICAL SURVEY,UNITED STATES GEOLOGICAL SURVEY,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,292,U700461,29.780131,-101.757582,A-0510033 TCPN:  Vol = 30 mL L-0510033 Received Fe
2306,13223,RIO GRANDE AT FOSTER RANCH,3/14/07,12:00,0.3,UNITED STATES GEOLOGICAL SURVEY,UNITED STATES GEOLOGICAL SURVEY,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,123,U700724,29.780131,-101.757582,A-0780020 TCPN:  Vol = 20 ml L-0780020 Received Ma
2306,13223,RIO GRANDE AT FOSTER RANCH,5/23/07,12:00,0.3,UNITED STATES GEOLOGICAL SURVEY,UNITED STATES GEOLOGICAL SURVEY,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,34,U701112,29.780131,-101.757582,A-1490033 TPCN = 10 ml L-1490033 X = EASR # does n
2306,13223,RIO GRANDE AT FOSTER RANCH,4/25/07,11:30,0.3,UNITED STATES GEOLOGICAL SURVEY,UNITED STATES GEOLOGICAL SURVEY,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,142,U701004,29.780131,-101.757582,A-1200044 Associated QW      TPCN = 20 ml L-120004
2306,16730,RIO GRANDE VILLAGE BOAT RAMP,10/31/07,10:30,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,379,B001742,29.179388,-102.96003,No field data (field sheets were lost)
2306,16730,RIO GRANDE VILLAGE BOAT RAMP,8/11/08,2:30,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,230,B001747,29.179388,-102.96003,Samples collected and water chemistry done at 16.2 m. from LEW. Precipitation event in area in early morning.
2306,13228,RIO GRANDE AT SANTA ELENA CNYN,10/29/07,4:30,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,430,B001743,29.166666,-103.554169,No field data ( field sheets were lost)
2306,13228,RIO GRANDE AT SANTA ELENA CNYN,1/22/08,10:30,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,610,B001744,29.166666,-103.554169,No field data for this set.
2306,16730,RIO GRANDE VILLAGE BOAT RAMP,10/27/08,1:30,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,114,B001746,29.179388,-102.96003,Water too high to measure flow.Sample depth 1 ft at LEW.Coolers arrived late;some parameters not measured due to exceeding holding time
2306,13228,RIO GRANDE AT SANTA ELENA CNYN,8/11/08,9:00,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,297,B001748,29.166666,-103.554169,Precip. event early in morning. Samples/water chemistry collected at 7.0m from LEW. Holding time for some parameters expired.
2306,13228,RIO GRANDE AT SANTA ELENA CNYN,10/27/08,9:00,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,116,B001749,29.166666,-103.554169,Water too high to measure flow. Coolers arrived late; some parameters could not be analyzed due to exceeding holding time.
2306,13229,RIO GRANDE BELOW RIO CONCHOS ,5/13/08,9:30,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,INTERNATIONAL BOUNDARY & WATER COMMISSION,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,430,BP00231,29.51898,-104.28659,
2306,13229,RIO GRANDE BELOW RIO CONCHOS ,6/17/08,9:30,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,INTERNATIONAL BOUNDARY & WATER COMMISSION,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,295,BP00236,29.51898,-104.28659,Cooler arrived at lab with a non- compliant temperature.
2306,13228,RIO GRANDE AT SANTA ELENA CNYN,5/12/08,11:30,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,493,B001734,29.166666,-103.554169,Water parameters taken with YSI 556 MPS. Flow averaged from 2 runs: 42.474 cfs and 39.394 cfs. Samples grabbed 8m from LEW.
2306,16730,RIO GRANDE VILLAGE BOAT RAMP,5/13/08,10:00,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,288,B001735,29.179388,-102.96003,Water quality taken with YSI 556 MPS. Flow measured from 1 run with Sontek Flowtracker. Samples grabbed 17m from LEW.
2306,13228,RIO GRANDE AT SANTA ELENA CNYN,6/23/08,5:00,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,277,B001738,29.166666,-103.554169,"pH, DO, Spec. Cond., Temp, collected with YSI 556 MPS. YSI calibrated (pH, DO, Spec. Cond) on 6-23-08. Sample taken at 5.8 m from LEW."
2306,16730,RIO GRANDE VILLAGE BOAT RAMP,6/24/08,9:30,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,107,B001739,29.179388,-102.96003,"pH, DO, Spec. Cond., and temp. collected with YSI 556 MPS. Prescribed burn occurring 3 miles upstream. Samples taken at 16.7m from LEW."
2306,16730,RIO GRANDE VILLAGE BOAT RAMP,11/28/07,11:00,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,410,B001740,29.179388,-102.96003,
2306,13228,RIO GRANDE AT SANTA ELENA CNYN,11/27/07,4:45,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,461,B001741,29.166666,-103.554169,
2306,16730,RIO GRANDE VILLAGE BOAT RAMP,11/17/08,3:15,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,353,B001756,29.179388,-102.96003,Depth at 4.98' at 1450. River still too high to take instantaneous flow values. River width about 100!
2306,13228,RIO GRANDE AT SANTA ELENA CNYN,11/17/08,11:45,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,372,B001757,29.166666,-103.554169,Depth= 5.56' at 1110. River still too high to take instantaneous flow. River width about 120!
2306,16730,RIO GRANDE VILLAGE BOAT RAMP,1/23/08,10:30,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,505,B001758,29.179388,-102.96003,No Field Data.
2306,16730,RIO GRANDE VILLAGE BOAT RAMP,3/16/09,2:00,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,505,B001787,29.179388,-102.96003,"Calibration issue did not report DO and Conductance.  Cooler was a week late exceeded HT did not report BOD, Chlor, Pheo, TDS, VSS, TSS"
2306,13228,RIO GRANDE AT SANTA ELENA CNYN,3/16/09,10:15,0.3,INTERNATIONAL BOUNDARY & WATER COMMISSION,BIG BEND NATIONAL PARK SERVICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,525,B001785,29.166666,-103.554169,"Callibration issue did not report DO, or Conductance.  TDS very high.  River levels from BBNP daily report."
