Segment ID,Station ID,Station Description,Start Date,Start Time,Start Depth,Submitting Entity,Collecting Entity,Monitoring Type,Parameter Name,Parameter Code,Value,RFA/Tag ID,Station Latitude,Station Longitude,Comments
2303,13189,FALCON LAKE AT BM 1,7/21/75,2:35,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,100,Z205881,26.58,-99.170555,CLEAR
2303,13189,FALCON LAKE AT BM 1,7/28/76,2:25,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,141,Z205972,26.58,-99.170555,CALM WARM
2303,13189,FALCON LAKE AT BM 1,8/7/80,10:40,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,120,Z206171,26.58,-99.170555,
2303,13189,FALCON LAKE AT BM 1,11/19/80,1:35,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,112,Z206184,26.58,-99.170555,"PARTLY CLOUDY, LIGHT BREEZE SE"
2303,13189,FALCON LAKE AT BM 1,9/26/79,1:30,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,103,Z206131,26.58,-99.170555,"CLEAR, LIGHT BREEZE"
2303,13189,FALCON LAKE AT BM 1,3/21/90,8:20,15.24,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,180,Z206391,26.58,-99.170555,
2303,13189,FALCON LAKE AT BM 1,8/14/90,9:40,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,173,Z206392,26.58,-99.170555,"KEMMERER SAMPLER MALFUNCTION,MODERATE SE WIND, WATER LIME GREEN,PTLY CLOUDY, TDEPTH = 45 FT."
2303,13189,FALCON LAKE AT BM 1,5/14/91,11:00,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,117,Z206397,26.58,-99.170555,">1 INCH STORM 2 HRS. PRIOR TO SAMPLING. PARTLY CLOUDY, CALM MANY SPORTING BOATSIN AREA. BOTTOM WATER SAMPLE COLLECTED AT 50 FT."
2303,13189,FALCON LAKE AT BM 1,5/14/91,11:00,15.24,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,97,Z206402,26.58,-99.170555,BOTTOM WATER SAMPLE COLLECTED AT 50 FEET
2303,13189,FALCON LAKE AT BM 1,7/13/87,10:20,0.3,TEXAS COMMISSION ON ENVIRONMENTAL QUALITY,TCEQ REGIONAL OFFICE,Routine - Monitoring not intentionally targeted toward any environmental condition or event,CHLORIDE (MG/L AS CL),940,114,Z206308,26.58,-99.170555,
